Political Entities,Start,End,Ethnic Group,Language,Religion,Founder,Capital,Present Day Location,Code,Region,Duration (year),Area (thousand km2),Population (million),,Duration,Area,Population,Economics,Military,Culture,Technology,Governance,Social,,Overall
Kingdom of Kongo / 刚果王国,1390,1862,Kongo / 刚果,Kongo / 刚果语,Catholicism / 基督教（天主教）,Lukeni lua Nimi / 卢肯尼·卢阿·尼米,São Salvador / 圣萨尔瓦多,M'banza-Kongo / 姆班扎刚果,AGO,Central Africa / 中非,472,129,0.8,,A,C,D,B,B,B,C,B,C,,51
Kingdom of Kaffa / 卡法王国,1390,1897,Kafficho / 卡菲乔,Kafa / 卡法语,Oriental Orthodoxy / 基督教（东方正统教会）,Minjo / 明乔,Bonga / 邦加,Bonga / 邦加,ETH,East Africa / 东非,507,40,0.3,,S,D,D,C,C,C,C,B,C,,41
Joseon / 朝鲜王朝,1392,1897,Korean / 朝鲜,Korean / 朝鲜语,Confucianism / 儒家,Yi Sŏnggye / 李成桂,Hanseong / 汉城,Seoul / 首尔,KOR,East Asia / 东亚,505,221,17,,S,C,B,B,C,A,B,A,B,,62
Gujarat Sultanate / 古吉拉特苏丹国,1394,1573,Turkic / 突厥,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Muzaffar Shah I / 穆扎法沙阿一世,Ahmedabad / 艾哈迈达巴德,Ahmedabad / 艾哈迈达巴德,IND,South Asia / 南亚,179,200,4,,B,C,C,A,B,B,C,B,C,,55
Kingdom of Bamum / 巴穆姆王国,1394,1923,Bamum / 巴穆姆,Bamum / 巴穆姆语,Bamum Religion / 巴穆姆宗教,Nchare / 恩查雷,Foumban / 丰班,Foumban / 丰班,CMR,Central Africa / 中非,529,15,0.15,,S,D,D,C,C,B,C,B,B,,45
Jaunpur Sultanate / 江布尔苏丹国,1394,1493,Indo-Aryan / 印度-雅利安,Persian / 波斯语,Shia Islam / 伊斯兰教（什叶派）,Malik Sarwar / 马利克·萨尔瓦尔,Jaunpur / 江布尔,Jaunpur / 江布尔,IND,South Asia / 南亚,99,160,5,,C,C,C,C,C,B,C,C,C,,43
Duchy of Milan / 米兰公国,1395,1499,Lombard / 伦巴第,Renaissance Latin / 文艺复兴拉丁语,Catholicism / 基督教（天主教）,Gian Galeazzo Visconti / 吉安·加莱亚佐·维斯孔蒂,Milan / 米兰,Milan / 米兰,ITA,South Europe / 南欧,104,30,2.5,,B,D,D,B,B,B,B,B,B,,52
Kathiri State of Seiyun / 卡西里,1395,1888,Arab / 阿拉伯,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Badr ibn Bu Tuwairik / 巴德尔·布·图瓦伊里克,Seiyun / 塞温,Seiyun / 塞温,YEM,West Asia / 西亚,493,200,0.3,,A,C,D,C,C,C,C,C,C,,40
Kalmar Union / 卡尔马联盟,1397,1523,Dane / 丹麦,Middle Danish / 中古丹麦语,Catholicism / 基督教（天主教）,Margaret I / 玛格丽特一世,Copenhagen / 哥本哈根,Copenhagen / 哥本哈根,DNK,North Europe / 北欧,126,2839,1.8,,B,B,D,B,B,B,C,B,C,,52
Ramadanid Emirate / 拉马丹酋长国,1397,1517,Turkoman / 突厥曼,Old Anatolian Turkish / 古土耳其语,Sunni Islam / 伊斯兰教（逊尼派）,Shihāb al-Dīn Ahmad / 希哈卜丁·艾哈迈德,Adana / 阿达纳,Adana / 阿达纳,TUR,West Asia / 西亚,120,15,0.15,,B,D,D,C,C,C,C,C,C,,37
Kingdom of Mysore / 迈索尔王国,1399,1831,Kannadiga / 卡纳达（达罗毗荼）,Kannada / 卡纳达语,Hinduism / 印度教,Yaduraya Wodeyar / 雅杜拉贾,Mysore / 迈索尔,Mysore / 迈索尔,IND,South Asia / 南亚,432,210,3.5,,A,C,C,B,B,B,B,B,C,,56
Oirat Confederation / 四卫拉特,1399,1634,Oirats / 瓦剌（蒙古）,Oirat / 瓦剌语,Tengrism / 腾格里教,Möngke-Temür / 乌格齐哈什哈,Khovd / 科布多,Khovd / 科布多,MNG,East Asia / 东亚,235,3600,1,,A,A,D,C,B,C,D,C,C,,44
Rajahnate of Cebu / 宿务,1400,1565,Visayan / 米沙鄢,Classical Cebuano / 古典宿务语,Hinduism / 印度教,Sri Lumay / 室利·鲁迈,Singhapala / 辛哈帕拉,Cebu / 宿务,PHL,Southeast Asia / 东南亚,165,4,0.1,,B,D,D,B,C,C,C,B,C,,42
Tripura Kingdom / 特里普拉王国,1400,1809,Tripura / 特里普拉（印度-雅利安）,Kokborok / 博罗克语,Hinduism / 印度教,Maha Manikya / 摩诃·马尼基亚,Udaipur / 乌代普尔,Udaipur / 乌代普尔,IND,South Asia / 南亚,409,12,0.8,,A,D,D,C,C,B,C,C,C,,41
Tunjur Kingdom / 通朱尔王国,1400,1650,Tunjur / 通朱尔,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Shau Dorshid / 绍·多尔希德,Uri / 乌里,Nyala / 尼亚拉,SDN,North Africa / 北非,250,150,0.3,,A,C,D,C,C,C,D,C,C,,37
Hồ Dynasty / 胡朝（大虞）,1400,1407,Vietnamese / 京,Old Vietnamese / 上古越南语,Mahayana Buddhism / 佛教（大乘佛教）,Hồ Quý Ly / 胡季犛,Tây Đô / 西都,Vĩnh Lộc / 永禄,VNM,Southeast Asia / 东南亚,7,120,1.8,,D,C,D,C,C,C,C,C,C,,37
Malwa Sultanate / 摩腊婆苏丹国,1401,1562,Turkic / 突厥,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Dilawar Khan / 迪拉瓦尔汗,Mandu / 曼杜,Mandu / 曼杜,IND,South Asia / 南亚,161,110,2,,B,C,D,C,C,B,C,C,C,,42
Malacca Sultanate / 马六甲苏丹国,1402,1511,Malay / 马来,Classical Malay / 古典马来语,Sunni Islam / 伊斯兰教（逊尼派）,Parameswara / 拜里米苏拉,Malacca City / 马六甲市,Malacca City / 马六甲市,MYS,Southeast Asia / 东南亚,109,350,1,,B,C,D,A,B,A,C,B,B,,57
Serbian Despotate / 塞尔维亚专制国,1402,1459,Serb / 塞尔维亚,Church Slavonic / 教会斯拉夫语,Eastern Orthodoxy / 基督教（东正教）,Stefan Lazarević / 斯特凡·拉扎列维奇,Smederevo / 斯梅代雷沃,Smederevo / 斯梅代雷沃,SRB,South Europe / 南欧,57,75,0.5,,C,D,D,C,C,B,C,B,C,,41
Sultanate of Agadez / 阿加德兹苏丹国,1405,1906,Tuareg / 图阿雷格,Tuareg / 图阿雷格语,Sunni Islam / 伊斯兰教（逊尼派）,Yunus / 尤努斯,Agadez / 阿加德兹,Agadez / 阿加德兹,NER,West Africa / 西非,501,400,0.8,,S,C,D,C,C,C,C,C,C,,41
Khanate of Sibir / 西伯利亚汗国,1405,1598,Tatar / 鞑靼,Chagatai Turkic / 察合台语,Sunni Islam / 伊斯兰教（逊尼派）,Taibuga / 台不花别吉,Qashliq / 喀什里克,Tobolsk / 托博尔斯克,RUS,North Asia / 北亚,193,500,0.3,,B,C,D,D,D,C,D,D,D,,27
Kingdom of Kotte / 科提王国,1412,1597,Sinhala / 僧伽罗（印度-雅利安）,Sinhala / 僧伽罗语,Theravāda Buddhism / 佛教（上座部佛教）,Parakramabahu VI / 波罗迦罗摩巴忽六世,Kotte / 科提,Sri Jayawardenepura Kotte / 科特,LKA,South Asia / 南亚,185,67,2,,B,D,D,B,C,B,C,B,B,,46
Sayyid Dynasty / 萨义德王朝,1414,1451,Turkic / 突厥,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Khizr Khan / 赫兹尔汗,Delhi / 德里,Delhi / 德里,IND,South Asia / 南亚,37,700,5,,D,C,C,C,C,C,D,D,D,,33
Sultanate of Adal / 阿达尔苏丹国,1415,1577,Arab / 阿拉伯,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Sabr ad-Din III / 萨布尔·阿德丁三世,Dakkar / 达卡尔,Harar / 哈勒尔,ETH,East Africa / 东非,162,450,0.7,,B,C,D,B,B,B,C,C,C,,48
Duchy of Savoy / 萨伏依公国,1416,1847,Italian / 意大利,Italian / 意大利语,Catholicism / 基督教（天主教）,Amadeus VIII / 阿梅迪奥八世,Turin / 都灵,Turin / 都灵,ITA,South Europe / 南欧,431,65,4,,A,D,C,B,B,B,B,A,B,,57
Jabrid Emirate / 贾布尔王朝,1417,1524,Arab / 阿拉伯,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Zamil bin Hussein bin Jabr / 扎米勒·本·侯赛因,Al-Ahsa /  哈萨,Al-Ahsa /  哈萨,SAU,West Asia / 西亚,107,400,0.4,,B,C,D,B,B,C,C,C,C,,45
Maravi / 马腊韦,1420,1860,Chewa / 切瓦,Chewa / 切瓦语,Chewa Traditional Religion / 切瓦传统宗教,Chinkhole / 钦科莱,Mankhamba / 曼坎巴,Dedza / 代扎,MWI,East Africa / 东非,440,180,1,,A,C,D,C,C,C,C,C,C,,40
Kingdom of Butua / 布图阿王国,1425,1683,Kalanga / 卡兰加,Kalanga / 卡兰加语,Musikism / 穆西克教,Madabhale / 马达巴莱,Khami / 卡米,Bulawayo / 布拉瓦约,ZWE,South Africa / 南非,258,200,0.9,,A,C,D,C,C,C,C,C,C,,40
Aztec Empire / 阿兹特克帝国,1428,1521,Mexica / 墨西加,Classical Nahuatl / 古典纳瓦特尔语,Aztec Polytheism / 阿兹特克多神教,Itzcoatl / 伊斯科阿特尔,Tenochtitlan / 特诺奇蒂特兰,Mexico City / 墨西哥城,MEX,Central America / 中美,93,220,6,,C,C,C,A,B,A,B,B,C,,60
Lê Dynasty / 后黎朝（大越）,1428,1789,Vietnamese / 京,Middle Vietnamese / 中古越南语,Confucianism / 儒家,Lê Lợi / 黎利,Đông Kinh / 东京,Hanoi / 河内,VNM,Southeast Asia / 东南亚,361,150,6.3,,A,C,C,B,B,B,C,A,B,,56
Uzbek Khanate / 乌兹别克汗国,1428,1471,Uzbek / 乌兹别克,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Abu'l-Khayr Khan / 阿布海儿,Chimgi-Tura / 成吉-图拉,Tyumen / 秋明,RUS,Central Asia / 中亚,43,500,1.2,,D,C,D,C,B,C,D,C,C,,37
Kingdom of Mrauk-U / 妙乌王国,1429,1785,Rakhine / 若开,Rakhine / 若开语,Theravāda Buddhism / 佛教（上座部佛教）,Min Saw Mon / 明苏蒙,Mrauk U / 妙乌,Mrauk U / 妙乌,MMR,Southeast Asia / 东南亚,356,55,1.8,,A,D,D,B,B,B,C,B,B,,50
Ryukyu Kingdom / 琉球国,1429,1872,Ryukyuan / 琉球,Ryukyuan / 琉球语,Ryukyuan Religion / 琉球信仰,Shō Hashi / 尚巴志,Shuri / 首里,Naha / 那霸,JPN,East Asia / 东亚,443,3.4,0.3,,A,D,D,B,C,B,C,B,C,,46
Songhai Empire / 桑海帝国,1430,1591,Songhai / 桑海,Songhay / 桑海语,Sunni Islam / 伊斯兰教（逊尼派）,Sonni Ali / 桑尼·阿里,Gao / 加奥,Gao / 加奥,MLI,West Africa / 西非,161,1400,2.5,,B,B,D,A,A,A,B,A,B,,67
Kingdom of Cambodia (Post-Angkor Period) / 柬埔寨王国（后吴哥时代）,1431,1863,Khmer / 高棉,Middle Khmer / 中古高棉语,Theravāda Buddhism / 佛教（上座部佛教）,Ponhea Yat / 博涅亚,Phnom Penh / 金边,Phnom Penh / 金边,KHM,Southeast Asia / 东南亚,432,150,2,,A,C,D,D,D,D,D,D,D,,25
Gajapati Empire / 伽贾帕蒂王朝,1434,1541,Odia / 奥里亚（印度-雅利安）,Odia / 奥里亚语,Hinduism / 印度教,Kapilendra Deva / 卡皮伦德拉·德瓦,Kataka / 克塔克,Cuttack / 克塔克,IND,South Asia / 南亚,107,160,6,,B,C,C,B,B,B,C,B,B,,53
Rinpungpa / 仁蚌巴,1435,1565,Tibetan / 藏,Tibetic / 藏语,Mahayana Buddhism / 佛教（大乘佛教）,Norzang / 诺布桑波,Samdrubtse / 仁蚌宗,Rinbung / 仁布,CHN,East Asia / 东亚,130,200,0.3,,B,C,D,C,B,C,D,C,C,,39
Inca Empire / 印加帝国,1438,1533,Inca / 印加,Quechuan / 克丘亚语,Inca Religion / 印加宗教,Pachacuti / 帕查库特克,Cusco / 库斯科,Cusco / 库斯科,PER,South America / 南美,95,2000,12,,C,B,B,A,A,A,B,A,A,,71
Khanate of Kazan / 喀山汗国,1438,1552,Tatar / 鞑靼,Chagatai Turkic / 察合台语,Sunni Islam / 伊斯兰教（逊尼派）,Ulugh Muhammad / 兀鲁·穆罕默德,Kazan / 喀山,Kazan / 喀山,RUS,East Europe / 东欧,114,150,1,,B,C,D,C,B,B,C,C,C,,45
Nogai Horde / 诺盖汗国,1440,1634,Nogai / 诺盖,Nogai / 诺盖语,Sunni Islam / 伊斯兰教（逊尼派）,Edigu / 也迪古,Saray-Jük / 萨莱楚克,Sarayshyq / 萨莱希克,KAZ,East Europe / 东欧,194,600,0.8,,B,C,D,C,C,C,D,C,C,,36
Kingdom of Ardra / 阿尔德拉王国,1440,1724,Aja / 阿扎,Aja / 阿扎语,Vodún / 伏都教,Ayossoh Aholuho Adja / 阿约索·阿霍卢霍·阿贾,Allada / 阿拉达,Allada / 阿拉达,BEN,West Africa / 西非,284,10,0.15,,A,D,D,C,C,C,D,C,C,,35
Crimean Khanate / 克里米亚汗国,1441,1783,Crimean Tatar / 克里米亚鞑靼,Crimean Tatar / 克里米亚鞑靼语,Sunni Islam / 伊斯兰教（逊尼派）,Hacı I Giray / 哈吉·格来,Bakhchysarai / 巴赫奇萨赖,Bakhchysarai / 巴赫奇萨赖,UKR,East Europe / 东欧,342,200,0.5,,A,C,D,C,B,B,C,C,C,,46
Duchy of Urbino / 乌尔比诺公国,1443,1631,Italian / 意大利,Renaissance Latin / 文艺复兴拉丁语,Catholicism / 基督教（天主教）,Oddantonio da Montefeltro / 奥丹托尼奥·达蒙特费尔特罗,Urbino / 乌尔比诺,Urbino / 乌尔比诺,ITA,South Europe / 南欧,188,5,0.3,,B,D,D,C,C,A,C,B,B,,46
Langah Sultanate / 朗迦苏丹国,1445,1530,Indo-Aryan / 印度-雅利安,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Rai Sahra Langah / 拉伊·萨赫拉·朗迦,Multan / 木尔坦,Multan / 木尔坦,PAK,South Asia / 南亚,85,32,0.7,,C,D,D,B,C,C,C,C,C,,39
Sheikhdom of Diriyah / 迪里耶谢赫国,1446,1744,Arab / 阿拉伯,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Maniʿ bin Rabiʿa al‑Muraydi / 马尼·本·拉比阿,Diriyah / 迪里耶,Diriyah / 迪里耶,SAU,West Asia / 西亚,298,0.5,0.05,,A,D,D,D,D,C,D,C,C,,29
Mutapa Empire / 穆塔帕帝国,1450,1888,Shona / 绍纳,Shona / 绍纳语,Musikism / 穆西克教,Nyatsimba Mutota / 尼亚钦巴·穆托塔,Zvongombe / 兹冯戈姆贝,Zambezi Escarpment / 赞比西断崖,ZWE,South Africa / 南非,438,1000,4,,A,B,C,B,B,B,C,B,C,,55
Sultanate of Tidore / 蒂多雷苏丹国,1450,1780,Tidore / 蒂多雷,Tidore / 蒂多雷语,Sunni Islam / 伊斯兰教（逊尼派）,Ciri Leliatu / 西里·勒利亚图,Tidore / 蒂多雷,Tidore / 蒂多雷,IDN,Southeast Asia / 东南亚,330,30,0.3,,A,D,D,B,C,C,C,B,C,,43
Ennarea / 恩纳雷亚,1450,1710,Gonga / 贡加,Gonga / 贡加语,Oriental Orthodoxy / 基督教（东方正统教会）,Kaba Siyon / 卡巴·锡永,Yadare / 亚达雷,Jimma / 吉马,ETH,East Africa / 东非,260,80,0.4,,A,D,D,C,C,C,C,C,C,,38
Lodi Dynasty / 洛迪王朝,1451,1526,Pashtun / 普什图,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Bahlul Khan Lodi / 巴赫鲁尔·洛迪,Delhi / 德里,Delhi / 德里,IND,South Asia / 南亚,75,900,10,,C,C,B,C,C,C,C,C,C,,42
Duchy of Modena and Reggio / 摩德纳和雷焦公国,1452,1796,Italian / 意大利,Italian / 意大利语,Catholicism / 基督教（天主教）,Borso d'Este / 博尔索,Modena / 摩德纳,Modena / 摩德纳,ITA,South Europe / 南欧,344,6,0.6,,A,D,D,C,C,B,C,B,C,,43
Archduchy of Austria (Habsburg Monarchy) / 奥地利大公国（哈布斯堡君主国）,1453,1804,German / 德意志,Renaissance Latin / 文艺复兴拉丁语,Catholicism / 基督教（天主教）,Ladislaus the Posthumous / 拉斯洛五世,Vienna / 维也纳,Vienna / 维也纳,AUT,Central Europe / 中欧,351,700,23,,A,C,B,B,A,A,B,A,B,,67
Tahirid Sultanate / 塔希尔苏丹国,1454,1517,Arab / 阿拉伯,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Az-Zafir Amir I bin Tahir / 阿米尔一世,Zabid / 宰比德,Zabid / 宰比德,YEM,West Asia / 西亚,63,450,0.3,,C,C,D,C,C,C,C,C,C,,38
Sultanate of Sulu / 苏禄苏丹国,1457,1915,Tausūg / 陶苏格,Tausūg / 陶苏格语,Sunni Islam / 伊斯兰教（逊尼派）,Sharif ul-Hāshim / 沙里夫·哈希姆,Buansa / 布安萨,Jolo / 霍洛,PHL,Southeast Asia / 东南亚,458,25,0.3,,A,D,D,C,C,B,C,C,C,,41
Kingdom of Naples (Trastámara) / 那不勒斯王国（特拉斯塔马拉王朝）,1458,1501,Hispano-Roman / 希斯帕诺-罗马,Renaissance Latin / 文艺复兴拉丁语,Catholicism / 基督教（天主教）,Ferdinand I / 斐迪南一世,Naples / 那不勒斯,Naples / 那不勒斯,ITA,South Europe / 南欧,43,70,2.5,,D,D,D,C,C,B,C,B,C,,40
Turpan Khanate / 吐鲁番汗国,1462,1570,Mongol / 蒙古,Chagatai Turkic / 察合台语,Sunni Islam / 伊斯兰教（逊尼派）,Ahmad Alaq / 速檀阿黑麻,Turpan / 吐鲁番,Turpan / 吐鲁番,CHN,East Asia / 东亚,108,200,0.2,,B,C,D,C,C,C,C,C,C,,39
Kingdom of Imereti / 伊梅雷蒂王国,1463,1810,Georgian / 格鲁吉亚,Middle Georgian / 中古格鲁吉亚语,Eastern Orthodoxy / 基督教（东正教）,Bagrat VI / 巴格拉特六世,Kutaisi / 库塔伊西,Kutaisi / 库塔伊西,GEO,West Asia / 西亚,347,15,0.2,,A,D,D,C,C,C,C,C,C,,38
Kazakh Khanate / 哈萨克汗国,1465,1847,Kazakh / 哈萨克,Kazakh / 哈萨克语,Sunni Islam / 伊斯兰教（逊尼派）,Kerei Khan / 克列,Turkistan / 突厥斯坦,Turkistan / 突厥斯坦,KAZ,Central Asia / 中亚,382,2500,3,,A,B,C,C,B,B,C,C,C,,50
Bikaner State / 比卡内尔土邦,1465,1818,Rajasthani / 拉贾斯坦（印度-雅利安）,Rajasthani / 拉贾斯坦语,Hinduism / 印度教,Rao Bika / 拉奥·比卡,Bikaner / 比卡内尔,Bikaner / 比卡内尔,IND,South Asia / 南亚,353,60,0.5,,A,D,D,C,C,B,C,B,C,,43
Kingdom of Kakheti / 卡赫季王国,1465,1762,Georgian / 格鲁吉亚,Middle Georgian / 中古格鲁吉亚语,Eastern Orthodoxy / 基督教（东正教）,George VIII / 吉奥尔基八世,Gremi / 格雷米,Gremi / 格雷米,GEO,West Asia / 西亚,297,20,0.2,,A,D,D,C,C,C,C,C,C,,38
Khanate of Astrakhan / 阿斯特拉罕汗国,1466,1556,Tatar / 鞑靼,Chagatai Turkic / 察合台语,Sunni Islam / 伊斯兰教（逊尼派）,Mahmud bin Küchük / 马哈茂德·本·库楚克,Xacitarxan / 哈吉塔尔汉,Astrakhan / 阿斯特拉罕,RUS,East Europe / 东欧,90,60,0.2,,C,D,D,C,C,C,C,C,C,,36
Kingdom of Kandy / 康提王国,1469,1815,Sinhala / 僧伽罗（印度-雅利安）,Sinhala / 僧伽罗语,Theravāda Buddhism / 佛教（上座部佛教）,Senasammata Vikramabahu / 塞纳萨摩多·毗克罗摩巴胡,Kandy / 康提,Kandy / 康提,LKA,South Asia / 南亚,346,67,2,,A,D,D,C,C,B,C,B,C,,43
Pahang Sultanate / 彭亨苏丹国,1470,1623,Malay / 马来,Classical Malay / 古典马来语,Sunni Islam / 伊斯兰教（逊尼派）,Muhammad Shah / 穆罕默德·沙阿,Pekan / 北根,Pekan / 北根,MYS,Southeast Asia / 东南亚,153,36,0.1,,B,D,D,C,C,C,C,C,C,,37
Duchy of Ferrara / 费拉拉公国,1471,1597,Italian / 意大利,Renaissance Latin / 文艺复兴拉丁语,Catholicism / 基督教（天主教）,Borso d'Este / 博尔索,Ferrara / 费拉拉,Ferrara / 费拉拉,ITA,South Europe / 南欧,126,4,0.2,,B,D,D,C,C,A,C,B,B,,46
Wattasid Dynasty / 瓦塔斯王朝,1472,1554,Berber / 柏柏尔,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Al‑Sheikh Muhammad / 谢赫·穆罕默德,Fez / 非斯 ,Fez / 非斯 ,MAR,North Africa / 北非,82,350,2,,C,C,D,C,C,C,C,C,C,,38
Demak Sultanate / 淡目苏丹国,1475,1568,Javanese / 爪哇,Middle Javanese / 中古爪哇语,Sunni Islam / 伊斯兰教（逊尼派）,Raden Patah / 靳文,Demak / 淡目,Demak / 淡目,IDN,Southeast Asia / 东南亚,93,30,0.3,,C,D,D,B,B,B,C,B,C,,47
Kingdom of Kartli / 卡尔特利王国,1478,1762,Georgian / 格鲁吉亚,Middle Georgian / 中古格鲁吉亚语,Eastern Orthodoxy / 基督教（东正教）,Constantine II / 君士坦丁二世,Tiflis / 梯弗里斯,Tbilisi / 第比利斯,GEO,West Asia / 西亚,284,25,0.25,,A,D,D,C,C,C,C,C,C,,38
Sultanate of Cirebon / 井里汶苏丹国,1479,1613,Javanese / 爪哇,Middle Javanese / 中古爪哇语,Sunni Islam / 伊斯兰教（逊尼派）,Sunan Gunungjati / 苏南·古农贾迪,Cirebon / 井里汶,Cirebon / 井里汶,IDN,Southeast Asia / 东南亚,134,10,0.1,,B,D,D,B,C,B,C,C,C,,43
Prome Kingdom / 卑谬王国,1482,1542,Bamar / 缅,Old Burmese / 古缅甸语,Theravāda Buddhism / 佛教（上座部佛教）,Thado Minsaw / 德多敏绍,Prome / 卑谬,Prome / 卑谬,MMR,Southeast Asia / 东南亚,60,30,0.3,,C,D,D,C,C,C,C,C,C,,36
Toungoo Dynasty / 东吁王朝,1485,1752,Bamar / 缅,Middle Burmese / 中古缅甸语,Theravāda Buddhism / 佛教（上座部佛教）,Mingyi Nyo / 明基纽,Ava / 阿瓦,Inwa / 阿瓦,MMR,Southeast Asia / 东南亚,267,1500,4,,A,B,C,B,B,B,C,B,B,,56
Sultanate of Ternate / 特尔纳特苏丹国,1486,1683,Ternate / 特尔纳特,Ternate / 特尔纳特语,Sunni Islam / 伊斯兰教（逊尼派）,Zainal Abidin / 扎伊纳尔·阿比丁,Ternate / 特尔纳特,Ternate / 特尔纳特,IDN,Southeast Asia / 东南亚,197,50,0.4,,B,D,D,B,B,C,C,B,C,,45
Bijapur Sultanate / 比贾布尔苏丹国,1490,1686,Turkic / 突厥,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Yusuf Adil Shah / 优素福·阿迪尔·沙阿,Bijapur / 比贾布尔,Bijapur / 比贾布尔,IND,South Asia / 南亚,196,160,1.7,,B,C,D,B,B,B,C,C,C,,48
Ahmadnagar Sultanate / 艾哈迈德讷格尔苏丹国,1490,1636,Indo-Aryan / 印度-雅利安,Persian / 波斯语,Shia Islam / 伊斯兰教（什叶派）,Ahmad Nizam Shah / 艾哈迈德·尼扎姆·沙阿,Ahmadnagar / 艾哈迈德讷格尔,Ahmadnagar / 艾哈迈德讷格尔,IND,South Asia / 南亚,146,110,1.2,,B,C,D,C,B,B,C,C,C,,45
Berar Sultanate / 贝拉尔苏丹国,1490,1574,Indo-Aryan / 印度-雅利安,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Fathullah Imad-ul-Mulk / 法图拉·伊玛德·穆尔克,Ellichpur / 埃利奇普尔,Achalpur / 阿恰尔普尔,IND,South Asia / 南亚,84,50,0.6,,C,D,D,C,C,C,C,C,C,,36
Shilluk Kingdom / 希卢克王国,1490,1861,Shilluk / 希卢克,Shilluk / 希卢克语,Shilluk Imperial Cult / 希卢克君主崇拜,Nyikang / 尼扬卡恩,Fashoda / 法肖达,Kodok / 科多克,SSD,East Africa / 东非,371,50,0.25,,A,D,D,D,C,C,C,C,D,,34
Bidar Sultanate / 比德尔苏丹国,1492,1619,Turkic / 突厥,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Qasim Barid I / 卡西姆·巴里迪,Bidar / 比德尔,Bidar / 比德尔,IND,South Asia / 南亚,127,40,0.4,,B,D,D,C,C,C,C,C,C,,37
Kingdom of Saloum / 萨卢姆王国,1494,1867,Serer / 塞雷尔,Serer / 塞雷尔语,Serer Religion / 塞雷尔宗教,Mbegane Ndour / 姆贝甘·恩杜尔,Kahone / 卡奥内,Kahone / 卡奥内,SEN,West Africa / 西非,373,20,0.2,,A,D,D,C,C,B,C,C,C,,41
Aceh Sultanate / 亚齐苏丹国,1496,1903,Acehnese / 亚齐,Acehnese / 亚齐语,Sunni Islam / 伊斯兰教（逊尼派）,Ali Mughayat Syah / 阿里·穆哈亚特·沙阿,Kutaraja / 哥打拉贾,Banda Aceh / 班达亚齐,IDN,Southeast Asia / 东南亚,407,58,0.5,,A,D,D,B,B,B,C,B,B,,50
Keladi Nayak Dynasty / 凯拉迪纳亚克王朝,1499,1763,Kannadiga / 卡纳达（达罗毗荼）,Kannada / 卡纳达语,Hinduism / 印度教,Chaudappa Nayak / 乔达帕·纳亚克,Keladi / 凯拉迪,Keladi / 凯拉迪,IND,South Asia / 南亚,264,50,0.8,,A,D,D,C,C,B,C,C,C,,41
Lunda Empire / 隆达帝国,1500,1887,Lunda / 隆达,Lunda / 隆达语,Lunda Religion / 隆达宗教,Mwata Yamvo / 姆瓦塔·扬沃,Musumba / 穆松巴,Musumba / 穆松巴,COD,Central Africa / 中非,387,250,0.8,,A,C,D,B,B,B,C,B,C,,51
Mandara Kingdom / 曼达拉王国,1500,1902,Mandara / 曼达拉,Mandara / 曼达拉语,Sunni Islam / 伊斯兰教（逊尼派）,Sukda / 苏克达,Dulo / 杜洛,Mandara Mountains / 曼达拉山,CMR,Central Africa / 中非,402,35,0.3,,A,D,D,C,C,C,B,C,C,,41
Rajahnate of Maynila / 梅尼拉,1500,1571,Tagalog / 他加禄,Old Tagalog / 古他加禄语,Sunni Islam / 伊斯兰教（逊尼派）,Salalila / 萨拉利拉,Manila / 马尼拉,Manila / 马尼拉,PHL,Southeast Asia / 东南亚,71,0.2,0.05,,C,D,D,B,C,C,C,C,C,,39
Mbunda Kingdom / 姆本达王国,1500,1917,Mbunda / 姆本达,Mbunda / 姆本达语,Mbunda Religion / 姆本达宗教,Nkuungu / 恩库翁古,Lumbala N'guimbo / 伦巴拉恩吉姆博,Lumbala N'guimbo / 伦巴拉恩吉姆博,AGO,South Africa / 南非,417,100,0.6,,A,C,D,D,C,C,D,C,C,,34
Guarded Domains of Iran (Safavid Empire) / 伊朗保守王国（萨非王朝）,1501,1736,Persian / 波斯,Persian / 波斯语,Shia Islam / 伊斯兰教（什叶派）,Ismail I / 伊斯玛仪一世,Isfahan / 伊斯法罕,Isfahan / 伊斯法罕,IRN,West Asia / 西亚,235,2900,10,,A,B,B,B,B,A,C,A,B,,63
